"Time","Radiation","Temperature","Pressure","Humidity","WindDirection(Degrees)","Speed"
"23:55:26","1.21","28","30.46","59","177.39","5.62"
"23:50:23","1.21","28","30.46","58","176.78","3.37"
"23:45:26","1.23","28","30.46","57","158.75","3.37"
"23:40:21","1.21","28","30.46","60","137.71","3.37"
"23:35:24","1.17","28","30.46","62","104.95","5.62"
"23:30:24","1.21","28","30.46","64","120.2","5.62"
"23:25:19","1.2","29","30.46","72","112.45","6.75"
"23:20:22","1.24","29","30.46","71","122.97","5.62"
"23:15:22","1.23","29","30.46","80","101.18","4.5"
"23:10:22","1.21","29","30.46","85","141.87","4.5"
"23:05:23","1.23","29","30.47","93","120.55","2.25"
"23:00:25","1.21","29","30.47","98","144.19","3.37"
"22:55:20","1.22","29","30.47","99","139.8","6.75"
"22:50:19","1.21","30","30.47","99","140.92","2.25"
"22:45:31","1.23","30","30.47","99","147.61","5.62"
"22:40:23","1.22","30","30.47","99","113.78","4.5"
"22:35:19","1.21","30","30.47","99","123.03","10.12"
"22:30:22","1.22","30","30.47","99","173.73","6.75"
"22:25:19","1.22","30","30.47","98","91.43","6.75"
"22:20:22","1.2","30","30.47","98","109.74","6.75"
"22:15:22","1.2","30","30.47","98","143.53","2.25"
"22:10:21","1.2","30","30.47","97","146.76","5.62"
"22:05:20","1.21","30","30.47","97","158.35","4.5"
"22:00:26","1.22","30","30.47","97","166.05","5.62"
"21:55:20","1.22","30","30.47","96","151.82","5.62"
"21:50:32","1.22","30","30.47","96","152.52","6.75"
"21:45:28","1.24","30","30.47","95","127.82","7.87"
"21:40:20","1.23","30","30.47","95","157.58","6.75"
"21:35:21","1.23","30","30.47","95","172.96","7.87"
"21:30:21","1.23","30","30.47","95","143.82","6.75"
"21:25:22","1.24","30","30.47","94","154.03","5.62"
"21:20:21","1.2","30","30.47","93","165.93","4.5"
"21:15:23","1.24","30","30.47","93","139.82","7.87"
"21:10:20","1.21","29","30.47","93","166.07","9"
"21:05:26","1.24","30","30.47","93","116.16","5.62"
"21:00:20","1.2","30","30.47","92","157.48","4.5"
"20:55:18","1.19","30","30.47","91","112.27","7.87"
"20:50:20","1.25","30","30.47","90","133.69","6.75"
"20:45:24","1.25","30","30.47","88","140.64","6.75"
"20:40:19","1.23","30","30.47","87","52.89","1.12"
"20:35:19","1.21","30","30.47","86","132.66","4.5"
"20:30:18","1.25","30","30.46","85","138.35","5.62"
"20:25:20","1.23","30","30.46","84","109.87","3.37"
"20:20:23","1.23","30","30.47","81","123.25","3.37"
"20:15:20","1.26","30","30.46","75","158.64","4.5"
"20:10:22","1.17","30","30.46","70","165.22","5.62"
"20:05:22","1.22","30","30.46","63","160.51","3.37"
"20:00:18","1.22","30","30.46","51","155.36","4.5"
"19:55:23","1.22","30","30.46","47","157.78","6.75"
"19:50:22","1.24","30","30.46","46","151.6","3.37"
"19:45:25","1.25","30","30.46","47","105.78","4.5"
"19:40:22","1.19","30","30.46","48","135.55","4.5"
"19:35:22","1.19","30","30.46","56","140.92","4.5"
"19:30:20","1.23","30","30.46","57","165","4.5"
"19:25:21","1.19","31","30.46","55","126.63","3.37"
